Warning,Rating
A Corner Mullion has been placed at the end of a Curtain Wall that is not joined to another Curtain Wall. The angle of the Corner Mullion will default to 90 degrees.,1
A notch join can only be used when the run end tread is coplanar with the landing tread. Clear the Begin with Riser or End with Riser instance property for the run to use the notch join.,2
A structural framing element is attached to a wall whose Structural Usage is set to Non-bearing.,1
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap.,2
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap. You can tab-select one of the overlapping elements to exclude it from the group instance.,2
Actual Number of Risers is different from Desired Number of Risers. Add/remove Risers or change Desired Number of Risers in Stairs Properties.,2
"An elevation symbol references views on more than one sheet. It will show a blank sheet reference. To show the correct references, use a separate elevation symbol for the views on each sheet.",3
Area is not in a properly enclosed region,3
Area separation line is slightly off axis and may cause inaccuracies.,2
Area Tag is outside of its Area.  Enable Leader or move Area Tag within its Area.,1
Beam or Brace is slightly off axis and may cause inaccuracies.,1
Blend is too thin.,2
Can't create geometry for one or more Rails,3
Can't end Stairs with Riser because Riser Thickness is too small.,2
Can't make monolithic Stairs.,3
Conditions for wall embedding are no longer satisfied.,2
Could not create geometry for Room.,3
Could not create Reveal. Failed to properly create all segments. This sweep may not properly miter with neighboring sweeps.,3
Could not create Reveal. Sweep position is outside of its wall. Please check sweep parameters.,3
Could not create Wall Sweep. Sweep position is outside of its wall. Please check sweep parameters.,3
Could not create Wall Sweep. Two wall sweeps are overlapping.,3
Curtain grid lines must have at least one segment,1
Curtain grid lines must have at least one segment.,1
Curve-Based Family is slightly off axis and may cause inaccuracies,1
Curve-Based Family is slightly off axis and may cause inaccuracies.,1
Cuts on concrete members are ignored.,1
E 1: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 2: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 3: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 4: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 5: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 6: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 7: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
